City,Average Cost for two,Currency,Has Table booking,Has Online delivery,Is delivering now,Switch to order menu,Price range,Rating color,Rating text
New Delhi,0.33333333333333326,Indian Rupees(Rs.),No,No,No,No,0.0,Orange,Average
New Delhi,0.0,Indian Rupees(Rs.),No,No,No,No,0.0,Orange,Average
New Delhi,0.2222222222222222,Indian Rupees(Rs.),No,No,No,No,0.0,Orange,Average
New Delhi,0.0,Indian Rupees(Rs.),No,No,No,No,0.0,White,Not rated
New Delhi,0.0,Indian Rupees(Rs.),No,No,No,No,0.0,Orange,Average
New Delhi,1.0,Indian Rupees(Rs.),No,No,No,No,1.0,Yellow,Good
Noida,0.2222222222222222,Indian Rupees(Rs.),No,No,No,No,0.0,Orange,Average
New Delhi,0.11111111111111105,Indian Rupees(Rs.),No,No,No,No,0.0,Orange,Average
Gurgaon,0.0,Indian Rupees(Rs.),No,Yes,No,No,0.0,Yellow,Good
New Delhi,1.0,Indian Rupees(Rs.),No,No,No,No,1.0,Orange,Average
Albany,0.0,Dollar($),No,No,No,No,1.0,Yellow,Good
New Delhi,0.0,Indian Rupees(Rs.),No,No,No,No,0.0,Orange,Average
New Delhi,0.0,Indian Rupees(Rs.),No,No,No,No,0.0,Orange,Average
New Delhi,0.0,Indian Rupees(Rs.),No,No,No,No,0.0,Orange,Average
New Delhi,0.11111111111111105,Indian Rupees(Rs.),No,No,No,No,0.0,Orange,Average
New Delhi,0.0,Indian Rupees(Rs.),No,No,No,No,0.0,Yellow,Good
New Delhi,0.0,Indian Rupees(Rs.),No,No,No,No,0.0,Orange,Average
New Delhi,1.0,Indian Rupees(Rs.),Yes,No,No,No,1.0,Green,Very Good
New Delhi,0.0,Indian Rupees(Rs.),No,No,No,No,0.0,Orange,Average
Noida,0.11111111111111105,Indian Rupees(Rs.),No,No,No,No,0.0,White,Not rated
New Delhi,0.33333333333333326,Indian Rupees(Rs.),No,Yes,No,No,0.0,Orange,Average
Faridabad,0.0,Indian Rupees(Rs.),No,No,No,No,0.0,White,Not rated
Mysore,1.0,Indian Rupees(Rs.),No,No,No,No,1.0,Yellow,Good
New Delhi,0.2222222222222222,Indian Rupees(Rs.),No,No,No,No,0.0,White,Not rated
New Delhi,0.0,Indian Rupees(Rs.),No,No,No,No,0.0,Orange,Average
Gurgaon,0.0,Indian Rupees(Rs.),No,No,No,No,0.0,Orange,Average
Noida,0.4444444444444444,Indian Rupees(Rs.),No,Yes,No,No,0.0,Yellow,Good
Orlando,0.0,Dollar($),No,No,No,No,1.0,Green,Very Good
New Delhi,1.0,Indian Rupees(Rs.),No,No,No,No,1.0,Yellow,Good
Noida,0.8888888888888888,Indian Rupees(Rs.),No,Yes,No,No,1.0,Orange,Average
New Delhi,0.33333333333333326,Indian Rupees(Rs.),No,No,No,No,0.0,White,Not rated
New Delhi,0.33333333333333326,Indian Rupees(Rs.),No,Yes,No,No,0.0,Orange,Average
New Delhi,1.0,Indian Rupees(Rs.),No,No,No,No,1.0,Orange,Average
Noida,0.5555555555555556,Indian Rupees(Rs.),No,Yes,No,No,1.0,Orange,Average
New Delhi,1.0,Indian Rupees(Rs.),Yes,Yes,No,No,1.0,Orange,Average
New Delhi,0.33333333333333326,Indian Rupees(Rs.),No,No,No,No,0.0,Orange,Average
New Delhi,1.0,Indian Rupees(Rs.),No,No,No,No,1.0,Orange,Average
Gurgaon,1.0,Indian Rupees(Rs.),Yes,No,No,No,1.0,Yellow,Good
Abu Dhabi,0.0,Emirati Diram(AED),No,No,No,No,1.0,Dark Green,Excellent
New Delhi,1.0,Indian Rupees(Rs.),Yes,No,No,No,1.0,Orange,Average
New Delhi,1.0,Indian Rupees(Rs.),Yes,No,No,No,1.0,Green,Very Good
Noida,0.7777777777777777,Indian Rupees(Rs.),No,No,No,No,1.0,White,Not rated
New Delhi,0.4444444444444444,Indian Rupees(Rs.),No,No,No,No,0.0,White,Not rated
New Delhi,0.11111111111111105,Indian Rupees(Rs.),No,No,No,No,0.0,White,Not rated
Noida,0.0,Indian Rupees(Rs.),No,Yes,No,No,0.0,White,Not rated
New Delhi,0.11111111111111105,Indian Rupees(Rs.),No,No,No,No,0.0,White,Not rated
New Delhi,0.2222222222222222,Indian Rupees(Rs.),No,No,No,No,0.0,Orange,Average
New Delhi,1.0,Indian Rupees(Rs.),No,No,No,No,1.0,Yellow,Good
New Delhi,0.0,Indian Rupees(Rs.),No,No,No,No,0.0,Orange,Average
Noida,0.7777777777777777,Indian Rupees(Rs.),No,No,No,No,1.0,Orange,Average
New Delhi,0.33333333333333326,Indian Rupees(Rs.),No,No,No,No,0.0,White,Not rated
Noida,0.5555555555555556,Indian Rupees(Rs.),No,No,No,No,1.0,Orange,Average
Bangalore,1.0,Indian Rupees(Rs.),No,No,No,No,1.0,Green,Very Good
Cedar Rapids/Iowa City,0.0,Dollar($),No,No,No,No,1.0,Green,Very Good
